Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,Product Status,"FET Type","Technology","Drain to Source Voltage (Vdss)","Current - Continuous Drain (Id) @ 25°C","Drive Voltage (Max Rds On, Min Rds On)","Rds On (Max) @ Id, Vgs","Vgs(th) (Max) @ Id","Gate Charge (Qg) (Max) @ Vgs","Vgs (Max)","Input Capacitance (Ciss) (Max) @ Vds","FET Feature","Power Dissipation (Max)","Operating Temperature","Mounting Type","Supplier Device Package","Package / Case"
"https://www.diodes.com/assets/Datasheets/DMG3414U.pdf","//media.digikey.com/Renders/Diodes%20Renders/SOT-23-3%20PKG.jpg","DMG3414U-7DITR-ND,DMG3414U-7DICT-ND,DMG3414U-7DIDKR-ND","DMG3414U-7","Diodes Incorporated","Diodes Incorporated","MOSFET N-CH 20V 4.2A SOT23-3","148.793","0.49","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","N-Channel","MOSFET (Metal Oxide)","20 V","4.2A (Ta)","1.8V, 4.5V","25mOhm @ 8.2A, 4.5V","900mV @ 250µA","9.6 nC @ 4.5 V","±8V","829.9 pF @ 10 V","-","780mW (Ta)","-55°C ~ 150°C (TJ)","Surface Mount","SOT-23-3","TO-236-3, SC-59, SOT-23-3"
"https://www.diodes.com/assets/Datasheets/ZXM61N03F.pdf","//media.digikey.com/Renders/Diodes%20Renders/SOT-23-3%20PKG.jpg","ZXM61N03FTR-ND,ZXM61N03FCT-ND,ZXM61N03FDKR-ND","ZXM61N03FTA","Diodes Incorporated","Diodes Incorporated","MOSFET N-CH 30V 1.4A SOT23-3","134.129","0.49","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","N-Channel","MOSFET (Metal Oxide)","30 V","1.4A (Ta)","4.5V, 10V","220mOhm @ 910mA, 10V","1V @ 250µA","4.1 nC @ 10 V","±20V","150 pF @ 25 V","-","625mW (Ta)","-55°C ~ 150°C (TJ)","Surface Mount","SOT-23-3","TO-236-3, SC-59, SOT-23-3"
"https://www.vishay.com/docs/62947/si2374ds.pdf","//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-3%20PKG.jpg","SI2374DS-T1-GE3TR-ND,SI2374DS-T1-GE3CT-ND,SI2374DS-T1-GE3DKR-ND","SI2374DS-T1-GE3","Vishay Siliconix","Vishay Siliconix","MOSFET N-CH 20V 4.5A/5.9A SOT23","2","0.49","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","TrenchFET®","Active","N-Channel","MOSFET (Metal Oxide)","20 V","4.5A (Ta), 5.9A (Tc)","1.8V, 4.5V","30mOhm @ 4A, 4.5V","1V @ 250µA","20 nC @ 10 V","±8V","735 pF @ 10 V","-","960mW (Ta), 1.7W (Tc)","-55°C ~ 150°C (TJ)","Surface Mount","SOT-23-3 (TO-236)","TO-236-3, SC-59, SOT-23-3"
"https://www.diodes.com/assets/Datasheets/ZXM61N02F.pdf","//media.digikey.com/Renders/Diodes%20Renders/SOT-23-3%20PKG.jpg","ZXM61N02FTR-ND,ZXM61N02FCT-ND,ZXM61N02FDKR-ND","ZXM61N02FTA","Diodes Incorporated","Diodes Incorporated","MOSFET N-CH 20V 1.7A SOT23-3","39","0.52","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","N-Channel","MOSFET (Metal Oxide)","20 V","1.7A (Ta)","2.7V, 4.5V","180mOhm @ 930mA, 4.5V","700mV @ 250µA","3.4 nC @ 4.5 V","±12V","160 pF @ 15 V","-","625mW (Ta)","-55°C ~ 150°C (TJ)","Surface Mount","SOT-23-3","TO-236-3, SC-59, SOT-23-3"
"https://www.diodes.com/assets/Datasheets/ZXMN3B01F.pdf","//media.digikey.com/Renders/Diodes%20Renders/SOT-23-3%20PKG.jpg","ZXMN3B01FTR-ND,ZXMN3B01FCT-ND,ZXMN3B01FDKR-ND","ZXMN3B01FTA","Diodes Incorporated","Diodes Incorporated","MOSFET N-CH 30V 1.7A SOT23-3","30.368","0.56","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","N-Channel","MOSFET (Metal Oxide)","30 V","1.7A (Ta)","2.5V, 4.5V","150mOhm @ 1.7A, 4.5V","700mV @ 250µA","2.93 nC @ 4.5 V","±12V","258 pF @ 15 V","-","625mW (Ta)","-55°C ~ 150°C (TJ)","Surface Mount","SOT-23-3","TO-236-3, SC-59, SOT-23-3"
"https://www.diodes.com/assets/Datasheets/ZXMN2A14F.pdf","//media.digikey.com/Renders/Diodes%20Renders/SOT-23-3%20PKG.jpg","ZXMN2A14FTR-ND,ZXMN2A14FCT-ND,ZXMN2A14FDKR-ND","ZXMN2A14FTA","Diodes Incorporated","Diodes Incorporated","MOSFET N-CH 20V 3.4A SOT23-3","76.568","0.61","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","N-Channel","MOSFET (Metal Oxide)","20 V","3.4A (Ta)","2.5V, 4.5V","60mOhm @ 3.4A, 4.5V","700mV @ 250µA","6.6 nC @ 4.5 V","±12V","544 pF @ 10 V","-","1W (Ta)","-55°C ~ 150°C (TJ)","Surface Mount","SOT-23-3","TO-236-3, SC-59, SOT-23-3"
"https://www.taiwansemi.com/assets/uploads/datasheet/TSM210N02CX_B1811.pdf","//media.digikey.com/Photos/Taiwan%20Semi%20photos/MFG_TO-236-3,-SC-59,-SOT-23-3.jpg","TSM210N02CXRFGTR-ND,TSM210N02CXRFGCT-ND,TSM210N02CXRFGDKR-ND","TSM210N02CX RFG","Taiwan Semiconductor Corporation","Taiwan Semiconductor Corporation","MOSFET N-CHANNEL 20V 6.7A SOT23","12.686","0.79","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","N-Channel","MOSFET (Metal Oxide)","20 V","6.7A (Tc)","1.8V, 4.5V","25mOhm @ 4A, 4.5V","800mV @ 250µA","4 nC @ 4.5 V","±10V","600 pF @ 10 V","-","1.56W (Tc)","150°C (TJ)","Surface Mount","SOT-23","TO-236-3, SC-59, SOT-23-3"
"https://www.diodes.com/assets/Datasheets/ZXMN2B14FH.pdf","//media.digikey.com/Renders/Diodes%20Renders/SOT-23-3%20PKG.jpg","ZXMN2B14FHTR-ND,ZXMN2B14FHCT-ND,ZXMN2B14FHDKR-ND","ZXMN2B14FHTA","Diodes Incorporated","Diodes Incorporated","MOSFET N-CH 20V 3.5A SOT23-3","6.632","0.84","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","N-Channel","MOSFET (Metal Oxide)","20 V","3.5A (Ta)","1.8V, 4.5V","55mOhm @ 3.5A, 4.5V","1V @ 250µA","11 nC @ 4.5 V","±8V","872 pF @ 10 V","-","1W (Ta)","-55°C ~ 150°C (TJ)","Surface Mount","SOT-23-3","TO-236-3, SC-59, SOT-23-3"
"https://www.vishay.com/docs/71611/si2314ed.pdf","//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-3%20PKG.jpg","SI2314EDS-T1-E3TR-ND,SI2314EDS-T1-E3CT-ND,SI2314EDS-T1-E3DKR-ND","SI2314EDS-T1-E3","Vishay Siliconix","Vishay Siliconix","MOSFET N-CH 20V 3.77A SOT23-3","53","0.84","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","TrenchFET®","Active","N-Channel","MOSFET (Metal Oxide)","20 V","3.77A (Ta)","1.8V, 4.5V","33mOhm @ 5A, 4.5V","950mV @ 250µA","14 nC @ 4.5 V","±12V","-","-","750mW (Ta)","-55°C ~ 150°C (TJ)","Surface Mount","SOT-23-3 (TO-236)","TO-236-3, SC-59, SOT-23-3"
"-","//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-3%20PKG.jpg","742-SQ2310ES-T1_BE3TR-ND,742-SQ2310ES-T1_BE3CT-ND,742-SQ2310ES-T1_BE3DKR-ND","SQ2310ES-T1_BE3","Vishay Siliconix","Vishay Siliconix","MOSFET N-CH 20V 6A SOT23-3","3.577","0.9","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","Automotive, AEC-Q101, TrenchFET®","Active","N-Channel","MOSFET (Metal Oxide)","20 V","6A (Tc)","1.5V, 4.5V","30mOhm @ 5A, 4.5V","1V @ 250µA","8.5 nC @ 4.5 V","±8V","485 pF @ 10 V","-","2W (Tc)","-55°C ~ 175°C (TJ)","Surface Mount","SOT-23-3 (TO-236)","TO-236-3, SC-59, SOT-23-3"
