Key	Catalogus Nr.
B340A	DigiKey: B340A-FDICT-ND
YDIZ:BZV55-C12	YDIZ12V
DP83848C	DigiKey: DP83848CVV-ND
DR127-330	Farnell: 119-5238
DVIULC6-4SC6	DigiKey: 497-5237-1-ND
FDN302P	Farnell: 122-3995
LPC2378FPD144	DigiKey: 568-3998-ND
LTC1728ES5-3.3	DigiKey: LTC1728ES5-3.3#TRMPBFCT-ND
MAX4090AAXT-T	DigiKey: MAX4090AAXT+TCT-ND
MAX4311ESD	DigiKey: MAX4311ESD+-ND
SPST	old stock of Farnell: 176-432	176-432
SST511	Farnell: 105-7751
XC2S200E-PQ208	DigiKey: 122-1324-ND
XCF02S-VO20	DigiKey: 122-1287-5-ND
CPOL-EUG:470u/10V	Farnell: 969-3483
LM393D	Farnell: 229-4229
LT6551CMS	RS: 506-1280
PSRDA3.3-6	YICSPSRDA33
LQG21N:4u7	Farnell: 952-7885
YDIZ:BZV55-C3V3	Farnell: 109-7197
1613_14	CNPWR002M4-2
MODULARJACK_4C4P	Farnell: 973-4171
MSTBA5	CNTRM005M-3
CON-COAX-90°	CNBNCF3-3
CPOL-EUE22-9AXIAL:100u/35V	CAEA100U-1
2P3T	RS: 334-101
ZENER-DIODEZD-10:7V5	d'tron
CPOL-EUE25-9AXIAL:100u/25V	CAEA100U-1
RN08:470E	old stock
CPOL-EUE45-21AXIAL:2200u/40V	CAEA2200U-1
CON_EDGE44-90°	RS: 483-871
DIN41612-F48-90°	harting 09 06 248 6836
MS-500F	d'tron
F15HP:	old stock
MAB5SH	Farnell: 809-883
F09VP:	old stock
M9040P:	old stock
R-US_0207/10:2K2	RES2K2
DIN41612-F-90°	CNDIN048F1-2
RJ45_DELTA	CNRJ45F1-1
WKP472	CAC4N7
YCAT15U-1	YCAT15U-1
SMDLM5010	YICRLM5010
SMDBNX022	YFIL14
R-EU_R1206:0E	YRES0E
R-EU_R0805:56E	YRES56E-2
R-EU_R0805:3K3	YRES3K3-2
R-EU_R0805:1K	YRES1K-2
R-EU_R0805:47K	YRES47K-2
MINISMDC050F	YFUSSMDC050
PLY10AN1430	FIL23
YDITSM15TXXCA	YDITSM15T39
DFL1501S:	YDIB70V1500MA
2U2	YCAM2U2
330UF/63V	CAEA470U-2
L-USL4532P:68uH	YCOL68U-1
L-USL4532P:100uH	YCOL100U
MRA4003	YDIOMRA4003
CON13	CNTRB013
LED	DIL3R-4
CON8	CNTRB008
NEB21R	CNPWR002M4-1
3K9	YRES3K9
150E	YRES150E
LEDLED_KLEIN2	DIL3G-4
YDITSM6T6V8	YDITSM6T6V8
LED31.5MM	YDIL3R
YCAT15U-1:15u	YCAT15U-1
4049D	YICT74HC4049
MOLEX_54363-0478	CNBTB040F1
BTH-D	CNBTB060F1
R-EU_R0603:270E	YRES270E-1
R-EU_R0805:0E	YRES0E-2
R-EU_R0805:2K2	YRES2K2-2
R-EU_R0805:68E	YRES68E-1
LM5010	YICRLM5010
BNX022	YFIL14
C-EUC1812:2u2	YCAM2U2
C-EUC1825:22n	YCAM22N
MINI-USB-AB	CNUSB04F4
MIDCOM-MIC66210-5171	CNRJ45F1-5
TYCO-SD-CONNECTOR	YCNSDCARD
R-EU_R0805:2e7	YRES2E7-2
R-EU_R0805:270E	YRES270E-2
WURTH-749-921-012-1	CNRJ45F1-5
SM15T39CA	YDITSM15T39
SMDBZX284C24	YDIZ24V
CS8900A	YICPCS8900
HSMX-C170	YDIL3G-1
CNHDR036M3-1/1X2	CNHDR036M3-1/1X2
HSMC-L640	YDIL3R
C-EUC0805:2n2	YCAM2N2-2
C-EUC1206:YCAM1U-4	YCAM1U-4
C-EUC0805:560p	YCAM560p-2
AD7873	YICSAD7873
SP3223ECA	YICLMAX3223
HALO_HFJ11-1041E	CNRJ45F1-6
R-EU_R0805:10E	YRES10E-2
R-EU_R0805:10K	YRES10K-2
R-EU_R0805:130E	YRES130E-2
R-EU_R0805:4K7	YRES4K7-2
R-EU_R0805:4.99K	YRES4K99-2
R-EU_R0805:22K	YRES22K-2
R-EU_R0805:1M	YRES1M-2
R-EU_R0805:100E	YRES100E-2
R-EU_R0805:220K	YRES220K-2
R-EU_R0805:5K6	YRES5K6-2
R-EU_R0805:63E	YRES63E-2
R-EU_R0805:33E	YRES33E-2
R-EU_R0805:18E	YRES18E-2
R-EU_R0805:120E	YRES120E-2
R-EU_R0805:68K	YRES68K-2
JXS53-20MHz	YXTL20M00
ML40:	CNFLC040M1
YCOL100U-1:330u	YCOL330U
C-EUC0805:10n	YCAM10N-2
CNHDR036M3-1/1X6	CNHDR036M3-1/1X6
R-EU_R0805:2E2	YRES2E2-2
R-EU_R0805:2E7	YRES2E7-2
R-EU_R0805:8E2	YRES8E2-2
YCOL330U-1	YCOL330U
BAS216	YDIOBAS216
R-EU_R0805:3E3	YRES3E3-2
C-EUC0805:10u	YCAM10U-1
C-EUC0805:22p	YCAM22P-2
RJ45-HALO_HFJ11-1041ERL	CNRJ45F1-6
C-EUC0603:YCAM1U-6	YCAM1U-6
C-EUC0603:YCAM10n-1	YCAM10N-1
C-EUC0603:YCAM47N-1	YCAM47N-1
C-EUC0603:YCAM100N-3	YCAM100N-3
C-EUC0603:YCAM22P-1	YCAM22P-1
CRYTALHC49S:XTAL24M576-1	XTL24M576-1
SAA7113H	YICSSAA7113
R-EU_R0603:1K	YRES1K-1
R-EU_R0603:3K3	YRES3K3-1
LP3985IM5-3.3"	YICRLP3985-3V3
MOLEX_55299_0478	CNBTB040M2
C-EUC1206:YCAM4N7	YCAM4N7
C2U2/100V/X7R/1812	YCAM2U2
YCAT47U/6V3	YCAT47U-3
C-EUC1812:YCAM2U2	YCAM2U2
TLP181	YICOTLP181-1
LTC3406B-1.8	YICRLTC3406B
R-EU_R1206:YRES4K7	YRES4K7
R-EU_R0805:YRES10K-2	YRES10K-2
R-EU_R1206:YRES15K	YRES15K
R-EU_R1206:YRES3K3-1	YRES3K3
IHLP-2525CZ-3U3	YCOL3U3
INT55	YMODINT5500CS
MAX660M	YICRMAX660
R-EU_R1206:3K3-1	YRES3K3-1
POWERLINE_SIGNAL_COUPLER	YTFMINT5500
R-EU_R1206:3K3	YRES3K3
R-EU_R0805:YRES330E-2	YRES330E-2
C-EUC1206:YCAM10U	YCAM10U
C-EUC0805:YCAM1U-1	YCAM1U-1
LED3X1.5MM	YDIL3R
R-EU_R0805:330E	YRES330E-2
C-EUC1206:10U	YCAM10U
C-EUC0805:1U	YCAM1U-1
SENSOR_PCB	CNBTB040F1
CNHDR036M3-1/1X5	CNHDR036M3-1/1X5
CNHDR036M3-1/1X3	CNHDR036M3-1/1X3
DS1708SESA	YICSMAX708
2N2369	TRS2N2369A
R-US_0207/10:47E	RES47E
CPOL-EUE22-9AXIAL:47u/40V	CAEA47U-1
BZX554V7	DIZ4V7
2N2894	TRS2N2894
C-EU025-025X050:100p	CAC100p
F09HP:FEMALE	CNSUD009F2-2
R-US_0207/10:120K	RES120K
74HC125N	ICT74HC125
R-US_0207/10:300E	RES300E
R-US_0207/10:4K7_NP	NOT PLACED
CPOL-EUE15-5AXIAL:10u/25V	CAEA10U
1N5817	DIO1N5817
R-US_0207/10:5K1	RES5K1
C-EUC0603:1µF	YCAM1U-3
C-EUC0603:10nF	YCAM10N-1
C-EUC0603:100nF	YCAM100N-3
C-EUC0805:100nF	YCAM100N-1
YCAT22U-2	YCAT22U-2
C-EUC0805:100pF	YCAM100P-2
R-EU_R0805:68k	YRES68K-2
R-EU_R0805:10k	YRES10K-2
NMOSSOT23:2N7002	YTRS2N7002
TRIM_EU-LI10:5K	RET5K
R-EU_R0805:20k	YRES20K-2
TRIM_EU-LI10:100k	RET100K
FH12A-50S	CNBTF050F1
HIROSE-FH23-45S-0.3SHW	CNBTF045F1
LM2936MP-3.0	YICRLM2936-3
MOLEX_52103_0419	CNBTF04F1
SMDBZX284C10	YDIZ10V
SMDBZX284C15	YDIZ15V
WURTH_74476401	YCOL1U
ML6:	CNFLC006M1-1
R-EU_R0805:8K2	YRES8K2-2
NC7S14SOT23:	YICT7S14
R-EU_R1206:10K	YRES10K-2
TANTOS-0G	YICSPSB6970
SAMTEC-TMS-120	CNHDR020M1-1
MCD_0.5/4-G1-2.5	CNTRM008M-3
MC_0.5/2-G-2.5	CNTRM002M-3
MCD_0.5/9-G1-2.5	CNTRM018M-3
MCD_0.5/3-G1-2.5	CNTRM006M-3
R-EU_R0603:22E	YRES22E-1
PULSE_H1270	YTFM10-100D
R-EU_R0603:75E	YRES75E-1
R-EU_R0603:12K	YRES12K-1
R-EU_R0603:470K	YRES470K-1
R-EU_R0603:27K	YRES27K-1
R-EU_R0603:100K	YRES100K-1
R-EU_R0603:0E	YRES0E-1
R-EU_R0603:1K2	YRES1K2-1
R-EU_R0603:1M	YRES1M-1
R-EU_R0603:2K2	YRES2K2-1
R-EU_R0603:10E	YRES10E-1
R-EU_R0603:10K	YRES10K-1
R-EU_R1206:15K	YRES15K
R-EU_R0603:33E	YRES33E-1
R-EU_R0603:47K	YRES47K-1
R-EU_R0603:49E9	YRES49E9-1
R-EU_R0603:56E	YRES56E-1
R-EU_R0603:68E	YRES68E-2
R-EU_R0603:100E	YRES100E-1
R-EU_R0603:330E	YRES330E-1
R-EU_R0603:330K	YRES330K-1
C-EUC1812:2N2	YCAM2N2-3
C-EUC1812:2U2	YCAM2U2
C-EUC0603:100N	YCAM100N-3
C-EUC0603:10P	YCAM10P-1
YCAT15U-1:15U	YCAT15U-1
C-EUC1825:22N	YCAM22N
CT_47U/10V	YCAT47U-2
C-EUC0603:10N	YCAM10N-1
CT_10U/16V	YCAT10U-1
CT_47U/6V3	YCAT47U-3
C-EUC0603:22P	YCAM22P-1
2_STACKED_RJ45_W_LEDS	CNRJ45F2
HEF4794	YICTHEF4794
HEF4894	YICTHEF4894
JXS53-25MHz	YXTL25M00-1
SINGLE_LED_HAAKS	DIL3R-5
CT_2U2/10	YCAT2U2-1
PUSHBUTTON_SPST	SWI40
QUAD-LED-ANGLED-RED	DIL3R-1
QUAD-LED-ANGLED-GREEN	DIL3G-1
DS90C241	YICL90C241
PBSS5520X	YTRS5520
BRD071004_R0.1	BRD071004/0
FK_MC0.5/2-ST-2.5	CNTRM002F-3
FK_MC0.5/3-ST-2.5	CNTRM003F-3
FK_MC0.5/9-ST-2.5	CNTRM009F-3
FK_MC0.5/4-ST-2.5	CNTRM004F-3
HEADERHOLES_SAMTEC_TMS120SA	DO_NOT_PLACE
SN65HVD12	YICL65HVD12
IMX31_R1	DO_NOT_PLACE
TESTPOINT	DO_NOT_PLACE
R-EU_R0603:DNP	DO_NOT_PLACE
HONDA_SD-CARD_CONNECTOR	YCNSDCARD-1
74LVC1G04	YICT74LVC1G04
R-EU_R0603:200E	YRES200E-1
OV7710	YICSCMOV7710
R-EU_R0805:62E	YRES62E-2
OWLAN211G	DNP
C-EUC0805:1nF	YCAM1N-2
C-EUC0603:1uF/10V/0603	YCAM1U-6
2MMSMD_HEAD2X8	CNHDR016M1
ANTENNE-AANLUITING2	DO_NOT_PLACE
AST057-5	CNTRM005-3
MINISMDC020F	YFUSSMDC020
WI232FHSS	YMODWI232-915M
YDITSM15T39CA	YDITSM15T39
YFIL22	YFILL22
YICLMAX3483	YICL65HVD12
YICMAXCR3032	YICMAXCR3032
YXTLC3M68-1	YXTLC3M68-1
GDT-T90	YGDTT90
YCAT47U:	YCAT47U-3
R-EU_R1206:4K7	YRES4K7
ANTENNE-AANSLUITING	DO_NOT_PLACE
WI.232EUR	YMODWI232-868M
LP3985IM5-2.8SOT	YICRLP3985-2V8
SE18	DO_NOT_PLACE
DRS3010	SWI49
